True,loss,acc,val_loss,val_acc
0,0.032934405121899865,0.25197391005835906,0.034329461635199565,0.2817955112219451
1,0.025459182106912483,0.4503947820116718,0.028806858377860966,0.32917705735660846
2,0.01943168210852322,0.5976656368005493,0.026887093621893714,0.4239401496259352
3,0.014881140529761559,0.6987641606591143,0.027137525881317785,0.4451371571072319
4,0.011175443774803454,0.7866460693443186,0.027224372821555768,0.44139650872817954
5,0.008313411183673167,0.8582217645039478,0.02745141791286611,0.4613466334164589
6,0.00664131619852104,0.8887744593202883,0.027249071812094596,0.4763092269326683
7,0.0046675068112406745,0.9328870580157913,0.032402612250344714,0.42768079800498754
8,0.003745754411488188,0.9490216271884655,0.03128335801443257,0.4451371571072319
9,0.0029493093022541455,0.9680741503604532,0.030536400112427975,0.46508728179551123
