True,loss,acc,val_loss,val_acc
0,0.03511719919284842,0.43512738316180194,0.034549234937159036,0.4037089871611983
1,0.03420139219902892,0.5738147460772735,0.03433582514056806,0.4978601997146933
2,0.033850622434569426,0.6092458241943648,0.03383507129979372,0.6019971469329529
3,0.03352164707277162,0.6433271469546145,0.033839608055038564,0.5620542082738944
4,0.03329886629063745,0.6618862831111861,0.03416333354998927,0.5221112696148359
5,0.03303419773345736,0.6829762105618357,0.033754250802599244,0.5406562054208274
6,0.032918648271671694,0.6888813902480175,0.03359728566930229,0.609129814550642
7,0.03273454797756658,0.7076092458241944,0.03344592864435172,0.5934379457917262
8,0.03267831120137845,0.7146954614476126,0.033387838518738576,0.6134094151212554
9,0.03246226937448635,0.7342669141218154,0.03326593622161386,0.630527817403709
