True,loss,acc,val_loss,val_acc
0,0.03386438843088562,0.31797235023041476,0.034523202786985084,0.3862158647594278
1,0.03023959886785619,0.5535074244751664,0.03321906773104624,0.46553966189856955
2,0.028384742445456614,0.6676907322068613,0.0319026082327834,0.5617685305591678
3,0.027082008415368012,0.7501280081925243,0.03185694301391919,0.540962288686606
4,0.026085272627207255,0.8124253285543608,0.030935466987103883,0.6085825747724317
5,0.025371237833928403,0.8559481140126302,0.03150411824101124,0.5630689206762028
6,0.02500187453403268,0.8781362007168458,0.03116377215391638,0.5929778933680104
7,0.02469909891046178,0.8979348011606076,0.03142725460240993,0.5656697009102731
8,0.024330399837646902,0.9153439153439153,0.031327527273150815,0.5851755526657998
9,0.024139417481312556,0.9310462536268987,0.031534498627691185,0.5591677503250976
10,0.024034129370803167,0.9354838709677419,0.0310176527236621,0.5890767230169051
11,0.02384472721407165,0.9482846902201741,0.031595943653071966,0.5656697009102731
12,0.023857976617534773,0.9464072367298174,0.031186208613362208,0.58777633289987
13,0.02381889538098407,0.9498207885304659,0.03153641651758757,0.5591677503250976
14,0.023746821757855523,0.9530636627410821,0.0316010752331916,0.5591677503250976
15,0.023619097478358407,0.9612561870626387,0.03178319881424327,0.5448634590377113
16,0.023541574287707537,0.9643283836832224,0.031661764077929436,0.5539661898569571
17,0.023516750555433986,0.9668885475337088,0.03139671687186927,0.576072821846554
18,0.023554222741251536,0.96415770609319,0.03142526121846411,0.5786736020806242
19,0.02349440972946227,0.9679126130739034,0.031246167475597445,0.5721716514954487
20,0.023427651204800806,0.9714968424645845,0.031259467604876495,0.5747724317295189
21,0.02344232361193382,0.9711554872845195,0.031011598472942457,0.6007802340702211
22,0.023418449688169366,0.9720088752346817,0.03129315918846775,0.5682704811443433
23,0.02343665589080123,0.9720088752346817,0.030904742614190506,0.5981794538361509
24,0.02342577061162383,0.9716675200546169,0.03137858341822233,0.5643693107932379
25,0.02339111352703396,0.9742276839051033,0.03089839382816508,0.599479843953186
26,0.023349889697302607,0.9750810718552654,0.031086102573707294,0.5903771131339401
27,0.023336069680334543,0.9766171701655573,0.03155533467529654,0.552665799739922
28,0.02334563014734766,0.9764464925755248,0.03141030533571082,0.5656697009102731
29,0.02333338243559697,0.9767878477555897,0.031605406607391,0.5552665799739922
30,0.023322973891846004,0.9769585253456221,0.031238522579208,0.5786736020806242
31,0.02337076279831779,0.9754224270353302,0.03145672875045955,0.5695708712613784
32,0.023375165200025926,0.974910394265233,0.030957696806779917,0.599479843953186
33,0.023304231094813506,0.9788359788359788,0.03127989843390853,0.576072821846554
34,0.023309146875732076,0.9783239460658816,0.031137826693848607,0.5838751625487646
35,0.023280356072345923,0.9796893667861409,0.031004613645675125,0.5890767230169051
36,0.023340030525462744,0.9759344598054276,0.03073169568115155,0.6163849154746424
37,0.023339624025651182,0.9766171701655573,0.0307570680375217,0.6046814044213265
38,0.023368127294359078,0.9754224270353302,0.03114192693534226,0.58777633289987
39,0.023356457907381594,0.9743983614951357,0.030835854061558282,0.6072821846553966
40,0.023285214537584573,0.9798600443761734,0.031276445860050434,0.5747724317295189
41,0.023362910977441878,0.9747397166752005,0.031367169865086114,0.5721716514954487
42,0.02328918901477012,0.9793480116060761,0.03134297937038506,0.577373211963589
43,0.023259230900347934,0.9802013995562383,0.030633700064471855,0.6228868660598179
44,0.023230377511576104,0.9827615634067247,0.03138616599714182,0.5617685305591678
45,0.023210813291529825,0.983273596176822,0.031092174186508118,0.58777633289987
46,0.02319926459912575,0.9839563065369517,0.03107463460904879,0.5890767230169051
47,0.023204996777508605,0.9841269841269841,0.0311698558581666,0.577373211963589
48,0.023215295125404954,0.9829322409967571,0.030622375336983115,0.6202860858257477
49,0.023211861962974225,0.9834442737668544,0.031001476224594215,0.5838751625487646
