True,loss,acc,val_loss,val_acc
0,0.03606271386427605,0.13422027618726845,0.03670787431191707,0.14492753623188406
1,0.032859869298809664,0.3097002357696194,0.02979934837507165,0.3521739130434783
2,0.030560543337186285,0.38464129336476927,0.023836196246354475,0.40144927536231884
3,0.028978844309704356,0.44257325698888517,0.03077185845029527,0.40144927536231884
4,0.027110278104523208,0.5085887504210171,0.025805438860603002,0.4579710144927536
5,0.02568941888844537,0.5511956887841024,0.024859315416087276,0.48405797101449277
6,0.024919460310844428,0.5899292691141799,0.023137456588986992,0.5507246376811594
7,0.023818447458177915,0.6081172111822163,0.01692321453837381,0.663768115942029
8,0.023538611149217754,0.6313573593802627,0.024374410639638487,0.5565217391304348
9,0.022808150435666436,0.6562815762883125,0.023817561502042024,0.5594202898550724
10,0.021885309236625423,0.6680700572583361,0.020074633670889814,0.6840579710144927
11,0.021220727153963094,0.7025934658134052,0.01636260501716448,0.6942028985507246
12,0.020610944324970727,0.7068036375884136,0.03804599893265876,0.5043478260869565
13,0.019699304844241785,0.7199393735264399,0.025866232704425205,0.618840579710145
14,0.02072274725057333,0.7342539575614685,0.022506005694900733,0.6405797101449275
15,0.018619904186075967,0.7539575614685079,0.023446918397709942,0.6608695652173913
16,0.019028578082814124,0.7679353317615358,0.019085721088492352,0.644927536231884
17,0.019043038834141095,0.7793869989895588,0.024224579938943835,0.6753623188405797
18,0.019878505184900162,0.7635567531155271,0.019067571690117104,0.7159420289855073
19,0.018797669829483905,0.787470528797575,0.020377658588298854,0.6739130434782609
20,0.01870909061203825,0.7871337150555743,0.016365274095880813,0.6826086956521739
21,0.01775733893188253,0.7962276860895925,0.017738199968268906,0.6652173913043479
22,0.017151496368411737,0.7967329067025934,0.020496774151705314,0.7130434782608696
23,0.01670971954960982,0.8177837655776355,0.018431723096232484,0.7275362318840579
24,0.017064852204014453,0.818962613674638,0.02128803583158963,0.7188405797101449
25,0.01683396913560403,0.8177837655776355,0.024439585446447566,0.6840579710144927
26,0.017115605503832624,0.8386662175816774,0.01891738454932752,0.7231884057971014
27,0.016235893329372707,0.8246884472886494,0.017813556695329972,0.6826086956521739
28,0.01674372241347677,0.8356348939036713,0.019390571462935297,0.7101449275362319
29,0.016615947636340594,0.8506231054227013,0.020444739836713542,0.7188405797101449
